"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,male,45-54,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.00991667,1,9.91666667,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view",,,17,1,,0.13883333,17,8.16666667,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,unknown,55-64,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.00991667,1,9.91666667,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,unknown,65+,not_delivering,ad,"7-day click or 1-day view",,,2,1,,0.00991667,2,4.95833333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,unknown,45-54,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.00991667,1,9.91666667,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitMyHome_PQ_V1,AmitMyHome_PQ_V1,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeTreeOfLife_PQ_V1,AmitHomeTreeOfLife_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view",,,10,1,,0.09,10,9,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeTreeOfLife_PQ_V1,AmitHomeTreeOfLife_PQ_V1,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view",,,4,1,,0.04,4,10,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeTreeOfLife_PQ_V1,AmitHomeTreeOfLife_PQ_V1,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view",,,3,1,,0.04,3,13.33333333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,female,35-44,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.02,1,20,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
